exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time
259043.28,4,unique,False,222,95.2,11.51,44.400000000000006
259088.92,4,unique,False,196,95.08,11.61,39.2
259148.22,4,unique,False,353,95.04,11.25,70.60000000000001
259189.8,4,unique,False,226,95.12,11.37,45.2
259225.37,4,unique,False,163,95.08,11.2,32.6
259261.98,4,unique,False,147,95.2,11.33,29.400000000000002
259325.1,4,unique,False,350,95.0,11.24,70.0
259361.33,4,unique,False,199,95.12,11.37,39.800000000000004
259393.63,4,unique,False,156,95.0,11.39,31.200000000000003
259447.47,4,unique,False,213,95.08,11.29,42.6
259496.84,5,unique,False,217,95.0,13.3,43.400000000000006
259547.38,5,unique,False,216,95.0,12.43,43.2
259585.74,5,unique,False,158,95.2,13.57,31.6
259639.43,5,unique,False,233,95.16,13.32,46.6
259681.24,5,unique,False,182,95.16,13.57,36.4
259723.18,5,unique,False,179,95.0,13.99,35.800000000000004
259771.3,5,unique,False,168,95.0,13.49,33.6
259817.76,5,unique,False,157,95.04,12.93,31.400000000000002
259876.47,5,unique,False,214,95.16,13.79,42.800000000000004
259932.01,5,unique,False,243,95.08,13.98,48.6
259974.6,5,unique,False,172,95.04,13.88,34.4
260016.0,5,unique,False,127,95.48,14.13,25.400000000000002
260052.99,5,unique,False,147,95.0,14.1,29.400000000000002
260104.11,5,unique,False,161,95.0,13.98,32.2
260143.72,5,unique,False,152,95.16,14.05,30.400000000000002
260186.55,5,unique,False,137,95.0,13.89,27.400000000000002
260243.35,5,unique,False,159,95.12,13.87,31.8
260289.02,5,unique,False,161,95.04,13.85,32.2
260325.38,5,unique,False,133,95.08,14.01,26.6
260364.45,5,unique,False,127,95.04,13.82,25.400000000000002
260409.82,6,unique,False,134,95.0,16.23,26.8
260467.47,6,unique,False,150,95.0,15.86,30.0
260514.03,6,unique,False,151,95.04,15.95,30.200000000000003
260557.64,6,unique,False,134,95.12,15.56,26.8
260613.92,6,unique,False,159,95.4,15.9,31.8
260674.11,6,unique,False,166,95.08,15.82,33.2
260720.76,6,unique,False,134,95.32,15.75,26.8
260767.21,6,unique,False,133,95.16,15.72,26.6
260818.94,6,unique,False,144,95.0,15.65,28.8
260904.14,6,unique,False,201,95.12,15.6,40.2
260963.21,6,unique,False,131,95.32,16.58,26.200000000000003
261015.37,6,unique,False,122,95.0,16.15,24.400000000000002
261083.03,6,unique,False,142,95.24,16.28,28.400000000000002
261150.26,6,unique,False,133,95.12,16.64,26.6
261217.82,6,unique,False,132,95.12,16.26,26.400000000000002
261279.05,6,unique,False,122,95.0,16.74,24.400000000000002
261368.95,6,unique,False,188,95.2,16.75,37.6
261448.39,6,unique,False,147,95.08,16.7,29.400000000000002
261512.74,6,unique,False,129,95.04,16.54,25.8
261569.81,6,unique,False,124,95.24,16.78,24.8
261656.83,9,unique,False,113,95.16,21.99,22.6
261744.25,9,unique,False,133,95.04,20.69,26.6
261804.72,9,unique,False,79,95.48,20.97,15.8
261871.05,9,unique,False,77,95.16,21.53,15.4
261941.82,9,unique,False,79,95.04,20.44,15.8
262011.48,9,unique,False,84,95.28,21.39,16.8
262073.84,9,unique,False,82,95.2,20.85,16.400000000000002
262153.27,9,unique,False,111,95.2,21.97,22.200000000000003
262218.06,9,unique,False,84,95.28,20.95,16.8
262309.25,9,unique,False,132,95.08,21.79,26.400000000000002
262378.39,9,unique,False,74,95.24,22.91,14.8
262454.34,9,unique,False,76,95.44,22.09,15.200000000000001
262530.97,9,unique,False,85,95.04,23.13,17.0
262606.73,9,unique,False,69,95.08,21.78,13.8
262685.83,9,unique,False,77,95.12,22.66,15.4
262760.95,9,unique,False,72,95.0,21.64,14.4
262860.74,9,unique,False,125,95.12,23.92,25.0
262934.93,9,unique,False,83,95.12,22.94,16.6
263006.83,9,unique,False,75,95.08,22.34,15.0
263090.7,9,unique,False,87,95.12,23.06,17.400000000000002
